Wavelength (nm),Absorbance,Title,Time
190,0.027,4L_01oct2015,10/8/2015 11:12:52 AM
191,-0.161,,
192,-0.134,,
193,-0.147,,
194,-0.117,,
195,-0.24,,
196,-0.235,,
197,-0.393,,
198,-0.309,,
199,-0.192,,
200,0.096,,
201,0.213,,
202,-0.149,,
203,-0.411,,
204,-0.736,,
205,-0.64,,
206,-0.317,,
207,-0.19,,
208,-0.025,,
209,-0.165,,
210,-0.15,,
211,0.157,,
212,-0.003,,
213,0.062,,
214,-0.016,,
215,-0.082,,
216,0.034,,
217,0.161,,
218,0.297,,
219,0.335,,
220,0.29,,
221,0.263,,
222,0.24,,
223,0.263,,
224,0.271,,
225,0.279,,
226,0.278,,
227,0.276,,
228,0.28,,
229,0.279,,
230,0.275,,
231,0.268,,
232,0.258,,
233,0.247,,
234,0.243,,
235,0.239,,
236,0.237,,
237,0.233,,
238,0.229,,
239,0.227,,
240,0.225,,
241,0.227,,
242,0.225,,
243,0.222,,
244,0.216,,
245,0.213,,
246,0.215,,
247,0.214,,
248,0.212,,
249,0.208,,
250,0.203,,
251,0.202,,
252,0.199,,
253,0.196,,
254,0.193,,
255,0.191,,
256,0.191,,
257,0.191,,
258,0.191,,
259,0.191,,
260,0.19,,
261,0.188,,
262,0.183,,
263,0.181,,
264,0.179,,
265,0.179,,
266,0.177,,
267,0.176,,
268,0.174,,
269,0.173,,
270,0.173,,
271,0.17,,
272,0.169,,
273,0.167,,
274,0.165,,
275,0.164,,
276,0.162,,
277,0.161,,
278,0.157,,
279,0.155,,
280,0.154,,
281,0.153,,
282,0.151,,
283,0.148,,
284,0.145,,
285,0.143,,
286,0.141,,
287,0.139,,
288,0.136,,
289,0.134,,
290,0.133,,
291,0.132,,
292,0.13,,
293,0.128,,
294,0.125,,
295,0.123,,
296,0.122,,
297,0.12,,
298,0.118,,
299,0.116,,
300,0.114,,
301,0.112,,
302,0.11,,
303,0.108,,
304,0.107,,
305,0.106,,
306,0.104,,
307,0.102,,
308,0.1,,
309,0.1,,
310,0.1,,
311,0.098,,
312,0.095,,
313,0.093,,
314,0.092,,
315,0.091,,
316,0.09,,
317,0.088,,
318,0.088,,
319,0.086,,
320,0.084,,
321,0.083,,
322,0.082,,
323,0.082,,
324,0.081,,
325,0.079,,
326,0.077,,
327,0.076,,
328,0.075,,
329,0.074,,
330,0.073,,
331,0.072,,
332,0.071,,
333,0.07,,
334,0.069,,
335,0.067,,
336,0.067,,
337,0.067,,
338,0.067,,
339,0.065,,
340,0.063,,
341,0.062,,
342,0.061,,
343,0.062,,
344,0.06,,
345,0.059,,
346,0.058,,
347,0.057,,
348,0.055,,
349,0.054,,
350,0.054,,
351,0.053,,
352,0.053,,
353,0.052,,
354,0.052,,
355,0.051,,
356,0.051,,
357,0.051,,
358,0.051,,
359,0.05,,
360,0.049,,
361,0.048,,
362,0.048,,
363,0.046,,
364,0.045,,
365,0.044,,
366,0.044,,
367,0.043,,
368,0.042,,
